,Date,Daily_sentiment
5291,2019-10-10,1
5296,2019-10-09,0
5301,2019-10-08,0
5306,2019-10-07,0
5311,2019-10-06,0
5316,2019-10-05,1
5321,2019-10-04,0
5326,2019-10-03,-1
5331,2019-10-02,0
5336,2019-10-01,0
5341,2019-09-30,0
5346,2019-09-29,0
5351,2019-09-28,0
5356,2019-09-27,0
5361,2019-09-26,0
5366,2019-09-25,0
5371,2019-09-24,0
5376,2019-09-23,0
5381,2019-09-22,-1
5386,2019-09-21,0
5391,2019-09-20,0
5396,2019-09-19,0
5401,2019-09-18,0
5406,2019-09-17,0
5411,2019-09-16,0
5416,2019-09-15,0
5421,2019-09-14,0
5426,2019-09-13,0
5431,2019-09-12,0
5436,2019-09-11,0
5441,2019-09-10,0
5446,2019-09-09,1
5451,2019-09-08,0
5456,2019-09-07,0
5461,2019-09-06,1
5466,2019-09-05,-1
5471,2019-09-04,0
5476,2019-09-03,0
5481,2019-09-02,0
5486,2019-09-01,0
5491,2019-08-31,1
5496,2019-08-30,0
5501,2019-08-29,0
5506,2019-08-28,1
5511,2019-08-27,0
5516,2019-08-26,0
5521,2019-08-25,0
5526,2019-08-24,1
5531,2019-08-23,0
5536,2019-08-22,0
5541,2019-08-21,0
5546,2019-08-20,1
5551,2019-08-19,0
5556,2019-08-18,0
5561,2019-08-17,1
5566,2019-08-16,0
5571,2019-08-15,0
5576,2019-08-14,0
5581,2019-08-13,0
5586,2019-08-12,0
5591,2019-08-11,0
5596,2019-08-10,1
5601,2019-08-09,0
5606,2019-08-08,0
5611,2019-08-07,0
5616,2019-08-06,0
5621,2019-08-05,0
5626,2019-08-04,-1
5631,2019-08-03,1
5636,2019-08-02,0
5641,2019-08-01,0
5646,2019-07-31,0
5651,2019-07-30,0
5656,2019-07-29,-1
5661,2019-07-28,0
5666,2019-07-27,1
5671,2019-07-26,0
5676,2019-07-25,0
5681,2019-07-24,0
5686,2019-07-23,0
5691,2019-07-22,0
5696,2019-07-21,0
5701,2019-07-20,0
5706,2019-07-19,1
5711,2019-07-18,0
5716,2019-07-17,1
5721,2019-07-16,0
5726,2019-07-15,0
5731,2019-07-14,0
5736,2019-07-13,0
5741,2019-07-12,0
5746,2019-07-11,0
5751,2019-07-10,1
5756,2019-07-09,0
5761,2019-07-08,0
5766,2019-07-07,0
5771,2019-07-06,1
5776,2019-07-05,0
5781,2019-07-04,0
5786,2019-07-03,1
5791,2019-07-02,0
5796,2019-07-01,0
5801,2019-06-30,1
5806,2019-06-29,1
5811,2019-06-28,0
5816,2019-06-27,0
5821,2019-06-26,0
5826,2019-06-25,0
5831,2019-06-24,1
5836,2019-06-23,0
5841,2019-06-22,0
5846,2019-06-21,-1
5851,2019-06-20,0
5856,2019-06-19,0
5861,2019-06-18,1
5866,2019-06-17,0
